[header]
width=50
height=40
tilewidth=32
tileheight=32

[tilesets]
tileset=../../orig/tiles.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
13,5,5,5,5,5,5,5,5,5,5,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,5,5,5,5,5,5,5,5,5,14,2,2,2,2,2,2,2,2,2,2,2,2,
4,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,5,5,5,5,5,5,14,13,5,5,5,9,0,0,0,55,55,0,55,0,55,10,5,5,5,5,5,5,5,5,5,14,2,2,
4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,14,
4,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
4,0,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,7,3,3,3,3,8,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
12,3,3,3,3,11,2,12,3,3,3,8,44,44,44,44,44,7,3,8,0,0,0,0,0,0,0,0,6,2,2,2,2,4,0,0,44,44,45,45,0,0,0,0,0,0,0,0,65,6,
2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,6,2,2,2,2,4,0,0,0,0,0,0,44,44,7,3,8,0,0,0,0,6,
2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,7,3,3,11,2,2,2,2,4,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,6,
2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,7,11,2,12,3,3,3,3,3,11,2,2,2,2,2,2,13,9,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,6,
2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,0,6,2,2,2,2,2,2,2,2,2,2,2,2,13,5,5,9,0,0,0,0,0,0,0,0,0,6,13,9,0,0,0,0,6,
2,2,2,2,2,2,2,2,2,2,13,9,45,45,45,45,10,14,2,2,2,2,2,2,2,2,13,5,5,9,55,55,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,6,
2,2,2,2,2,2,2,2,13,5,9,0,0,0,0,0,0,10,5,14,2,13,5,5,5,5,9,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,7,11,
2,2,2,2,2,2,13,5,9,0,0,0,0,0,0,0,0,0,0,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2,
2,2,2,2,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2,2,
2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,3,3,11,2,2,2,
