[header]
width=60
height=50
tilewidth=32
tileheight=32

[tilesets]
tileset=../level00.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
2,2,2,2,2,2,13,5,5,5,5,5,5,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,13,5,5,9,0,0,0,0,0,0,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,2,2,2,2,2,2,2,2,2,2,2,2,
2,13,5,9,0,0,0,0,0,0,0,0,65,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,9,54,0,0,0,0,0,0,0,0,47,0,0,0,0,55,10,5,5,5,5,5,14,2,2,2,2,2,2,
2,4,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,2,2,2,13,5,5,5,5,5,5,5,5,5,9,55,0,0,0,0,0,0,0,0,0,47,0,0,58,0,0,55,0,0,0,0,0,10,5,5,14,2,2,2,
2,4,0,0,0,0,0,0,0,100,0,0,0,6,2,2,2,2,13,5,9,55,55,0,0,0,55,55,0,0,42,0,0,0,44,44,44,44,43,41,0,42,41,43,44,44,0,0,0,0,0,0,0,0,0,0,6,2,2,2,
13,9,0,0,0,0,0,0,0,0,0,0,7,11,2,2,2,13,9,55,55,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,58,0,47,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,2,2,
4,0,0,0,0,0,0,7,3,3,3,3,11,2,2,2,13,9,0,0,0,0,0,0,0,0,0,45,0,0,42,45,45,45,45,45,45,45,43,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,
4,0,0,0,0,0,0,6,2,2,2,2,2,2,2,13,9,0,0,0,0,45,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,43,41,43,43,41,43,44,44,44,44,44,44,7,8,0,0,58,0,0,6,2,2,
12,8,0,0,58,0,0,6,2,2,2,2,2,2,2,4,0,0,0,0,0,43,43,45,45,45,43,43,43,45,45,45,45,45,45,0,0,0,0,44,0,47,0,0,0,0,0,0,0,7,11,4,0,0,0,0,0,6,2,2,
2,4,66,0,0,0,0,10,14,2,2,2,2,2,2,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,0,0,0,6,2,4,0,0,48,0,0,6,2,2,
